Unnamed: 0,agencyId,surfaceLiving,numberRooms,city,advertisementId,geo,geoLocation,price,norm_price,neighborhood_price,realvalue,Lon,Lat,disco,kids
6487,c225lmxr,199.0,5.5,Cugnasco,105739876,8166,"8.9181740,46.1752370",765000.0,3844.22110553,6010.19721407,-0.105328341784,8.918174,46.175237,-0.110996745226,0.352481535569
6488,fide,180.0,4.5,Cugnasco,105420981,8166,"8.9181740,46.1752370",780000.0,4333.33333333,6010.19721407,-0.173281349482,8.918174,46.175237,-0.110996745226,0.352481535569
6490,maz,160.0,6.0,Cugnasco,105963074,8166,"8.9181740,46.1752370",875000.0,5468.75,6010.19721407,-0.331026286337,8.918174,46.175237,-0.110996745226,0.352481535569
6492,hgol,200.0,5.5,Cugnasco,105975771,8166,"8.9181740,46.1752370",1160000.0,5800.0,6010.19721407,-0.377047286264,8.918174,46.175237,-0.110996745226,0.352481535569
6493,c348n,200.0,8.5,Cugnasco,105918985,8166,"8.9181740,46.1752370",1200000.0,6000.0,6010.19721407,-0.40483355037,8.918174,46.175237,-0.110996745226,0.352481535569
6495,c348n,230.0,7.0,Cugnasco,105860246,8166,"8.9181740,46.1752370",1270000.0,5521.73913043,6010.19721407,-0.338388136202,8.918174,46.175237,-0.110996745226,0.352481535569
6498,a548,300.0,7.5,Cugy FR,105346027,984,"6.8889050,46.8147560",1150000.0,3833.33333333,5597.77886454,-0.161113515127,6.888905,46.814756,0.127261462774,-0.0428984764757
6499,sw390,77.0,3.5,Cugy VD,105998410,632,"6.6401850,46.5848430",595000.0,7727.27272727,7730.6913749,-0.405775305558,6.640185,46.584843,0.718750883581,0.553726323982
6501,a449,140.0,4.5,Cugy VD,105979632,632,"6.6401850,46.5848430",995000.0,7107.14285714,7730.6913749,-0.319619843799,6.640185,46.584843,0.718750883581,0.553726323982
6502,a385,171.0,8.0,Cugy VD,105985802,632,"6.6401850,46.5848430",1240000.0,7251.4619883,7730.6913749,-0.339670291269,6.640185,46.584843,0.718750883581,0.553726323982
6504,hgol,210.0,7.0,Cugy VD,105925832,626,"6.6369497,46.5801042",1350000.0,6428.57142857,6604.81218625,-0.381764901591,6.6369497,46.5801042,0.728193556911,0.563314703431
6507,sw8,500.0,7.0,Cugy VD,105965736,632,"6.6401850,46.5848430",1995000.0,3990.0,7730.6913749,0.113448929635,6.640185,46.584843,0.718750883581,0.553726323982
6532,bizflims,115.0,7.0,Curaglia,105961232,7911,"8.8586300,46.6733920",495000.0,4304.34782609,5582.41758242,-0.228686343807,8.85863,46.673392,-0.789135820633,-0.499076275196
